### name of eos: 1D/NS/Microscopic/Bombaci/with_crust 
### link: https://compose.obspm.fr/eos/121 
### Number density nb [fm-3] 	 Chemical potential mu [MeV] 	 Pressure p [MeV/fm3] 	 Energy density e [MeV] 
n	mu	p	e
7.92405959867008e-15	0.931191807807985	1.8864781909828667e-22	7.37881919421599e-15
2.50580766467172e-14	0.9311918717271023	1.2028751012380429e-21	2.3333876091662677e-14
7.92405959867008e-14	0.9311920006112557	7.669892586590564e-21	7.378820143659157e-14
2.50580766467172e-13	0.931192260488514	4.89055366008406e-20	2.333388214559737e-13
7.92405959867008e-13	0.9311927844954322	3.118363762222316e-19	7.378824003829586e-13
2.50580766467172e-12	0.9311938410836567	1.9883623060735806e-18	2.3333906759202203e-12
7.92405959867008e-12	0.9311959715491966	1.2678394702087938e-17	7.378839698202621e-12
2.50580766467172e-11	0.9312002673413421	8.08412489670192e-17	2.3334006831233928e-11
7.92405959867008e-11	0.9312089292182232	5.154680610685972e-16	7.378903507132841e-11
2.50580766467172e-10	0.9312263947073647	3.286779031459769e-15	2.333441369612012e-10
6.29410234040288e-10	0.9312525236691708	1.446781958777772e-14	5.861254010536338e-10
1.5810484988654399e-09	0.9312958657947462	6.088592755770989e-14	1.4723630446868159e-09
3.9714689058682395e-09	0.9313642227127721	2.4410544610784567e-13	3.6986399450958082e-09
4.999380256722129e-09	0.9313832872669552	3.2824099746386106e-13	4.656010976805907e-09
9.973660358163069e-09	0.9314607863699537	8.956566483374038e-13	9.289177863553069e-09
1.99038194110668e-08	0.9315633403436518	2.3923706850712655e-12	1.8539276125485135e-08
3.97209640718649e-08	0.9316968849772583	6.278958802978592e-12	3.7001619535247144e-08
7.92418564452663e-08	0.9318687387409925	1.6252891374708007e-11	7.38267559297704e-08
1.58101406297455e-07	0.932088313636692	4.1668319054358926e-11	1.4732280486032994e-07
1.99033206564924e-07	0.9321598942506448	5.4538312147541693e-11	1.8547623447177876e-07
3.15499695463202e-07	0.9323452180086872	1.0167419373809272e-10	2.940529581545754e-07
4.99934080568851e-07	0.9325620054426339	1.890553301612541e-10	4.660304734342457e-07
6.294585892124061e-07	0.9326839411895064	2.577119373508809e-10	5.868282058648625e-07
7.29727457487442e-07	0.9327673419180001	3.143224307336004e-10	6.80351618414408e-07
9.65971146546113e-07	0.9329028317361696	4.2816756847349056e-10	9.007290504198297e-07
1.53107000415745e-06	0.9331991794846792	7.939200395018661e-10	1.4279993515738348e-06
2.5056266193172294e-06	0.9335385601138992	1.4704996958069151e-09	2.3376285666846567e-06
3.97141379770464e-06	0.9339296685467793	2.722546550555927e-09	3.706298625201844e-06
4.82727428613838e-06	0.9341144927842311	3.533942817342426e-09	4.5056929285091715e-06
6.07736284802167e-06	0.9343487053237545	4.807210805222776e-09	5.673568898026509e-06
7.92625465087822e-06	0.9345960058281033	6.541102212248078e-09	7.401304835674963e-06
9.97703609874371e-06	0.9348596379962107	8.894151385928924e-09	9.318234204160744e-06
1.25609035335829e-05	0.9351446056280674	1.2096045884863337e-08	1.1734165135359717e-05
1.5214353983086e-05	0.9353990498076289	1.562249889051235e-08	1.4215869760325045e-05
1.99041938317933e-05	0.9357197201203133	2.124609917031723e-08	1.8603500582335774e-05
2.50558859045481e-05	0.9360605565249832	2.8885707097599336e-08	2.342494079694018e-05
3.0243726441838895e-05	0.9363593366246239	3.713074147009906e-08	2.8281864886666763e-05
3.971489631294249e-05	0.936740018608252	5.04875723233537e-08	3.7152045138887195e-05
5.00057205192782e-05	0.9371462229446099	6.865660718962678e-08	4.679401550307572e-05
