### name of eos: /1D/NS/Skyrme/SLY4 
### link: https://compose.obspm.fr/eos/134 
### Number density nb [fm-3] 	 Chemical potential mu [MeV] 	 Pressure p [MeV/fm3] 	 Energy density e [MeV] 
n	mu	p	e
1e-07	0.9309770468995111	2.143249e-11	9.307627219995111e-08
1.096478e-07	0.9310048166944735	2.4274630392940002e-11	1.0205835530955936e-07
1.202264e-07	0.9310325789729128	2.7489658156239997e-11	1.1190720559447276e-07
1.318257e-07	0.9310632031675603	3.112104214404e-11	1.2270693745966183e-07
1.44544e-07	0.9310921756062347	3.52316315552e-11	1.345485557992724e-07
1.584893e-07	0.9311235890358184	3.987641504576e-11	1.4753324942472877e-07
1.737801e-07	0.9311566429465904	4.512275021943e-11	1.6177137177670337e-07
1.905461e-07	0.9311892562011898	5.105713236876e-11	1.7738342399866878e-07
2.089296e-07	0.9312235174535006	5.775885952848001e-11	1.9450239815262448e-07
2.290868e-07	0.931257325835289	6.533809822348001e-11	2.1327342265394022e-07
2.511886e-07	0.9312927878521812	7.3895918291e-11	2.338562356523954e-07
2.754229e-07	0.9313319000806524	8.3555045173e-11	2.564265777375505e-07
3.019952e-07	0.9313685600434295	9.447711455311999e-11	2.811743574494743e-07
3.311311e-07	0.9314083966768242	1.0681050855685999e-10	3.0831147643227627e-07
3.630781e-07	0.931449147507353	1.2072688118414e-10	3.380680598424053e-07
3.981072e-07	0.9314906321384591	1.3644941150688e-10	3.706966779753651e-07
4.365158e-07	0.9315333118967541	1.5420090876162e-10	4.0647480796049956e-07
4.786301e-07	0.931575970045045	1.7424988275396e-10	4.457060498175029e-07
5.248075e-07	0.9316239498917613	1.9684180569725005e-10	4.887263942771234e-07
5.754399e-07	0.9316701999985764	2.2237512408363e-10	5.358978315960772e-07
6.309573e-07	0.9317181356857189	2.5117583558937e-10	5.876231834177054e-07
6.91831e-07	0.9317684710228932	2.836640623383e-10	6.443426490139009e-07
7.585776e-07	0.9318187809918015	3.2033730725568e-10	7.065365172124308e-07
8.317638e-07	0.9318714783963914	3.6169939206953995e-10	7.747352625905308e-07
9.120108e-07	0.9319241457348884	4.0838183764344e-10	8.495165038533488e-07
1e-06	0.9319809321280988	4.609706e-10	9.315199615280988e-07
1.096478e-06	0.932038348969693	5.203209157552e-10	1.0214392238858357e-06
1.202264e-06	0.932097475820315	5.872186796336e-10	1.1200400209900015e-06
1.318257e-06	0.9321565707257135	6.626906940654e-10	1.2281592337611016e-06
1.44544e-06	0.9322204235902974	7.476927223360001e-10	1.3467209963520234e-06
1.584893e-06	0.9322842322953075	8.435657973112999e-10	1.4767271879778958e-06
1.737801e-06	0.9323479912033515	9.517002877863e-10	1.6192835711733892e-06
1.905461e-06	0.9324158729243707	1.0734309743145001e-09	1.7756086506640298e-06
2.089296e-06	0.9324860951028013	1.2105780079535998e-09	1.947028890545949e-06
2.290868e-06	0.9325568500148138	1.3652349956488e-09	2.1349994108840873e-06
2.511886e-06	0.9326293346667276	1.5394241552274e-09	2.34111914478344e-06
2.754229e-06	0.9327059393129203	1.7354140785703e-09	2.5671503324493154e-06
3.019952e-06	0.9327830428683406	1.9563439312975997e-09	2.815003671945033e-06
3.311311e-06	0.932861887438447	2.2050831220195e-09	3.0867907462336713e-06
3.630781e-06	0.9329430264272601	2.4851417910088e-09	3.3848266726435858e-06
3.981072e-06	0.9330276239563108	2.8002880353359996e-09	3.711649860923662e-06
4.365158e-06	0.9331121284683868	3.1553252137414e-09	4.070026547267065e-06
4.786301e-06	0.9332019105193146	3.5543458916380996e-09	4.463030891628867e-06
5.248075e-06	0.933291597674137	4.003721780205e-09	4.893980579683491e-06
5.754399e-06	0.933383524752873	4.5093760814802e-09	5.3665518453729276e-06
6.309573e-06	0.9334800106029297	5.0777651585268e-09	5.884782505781432e-06
6.91831e-06	0.9335782393468036	5.716987670191e-09	6.453066681385194e-06
7.585776e-06	0.9336763468867407	6.4365172816032e-09	7.076223106699509e-06
8.317638e-06	0.9337789680988596	7.2450228517254e-09	7.759590405808139e-06
9.120108e-06	0.9338856472939409	8.1530774124576e-09	8.508984885558192e-06
1e-05	0.9339921780376891	9.174726e-09	9.33074705437689e-06
1.096478e-05	0.934103159502737	1.0322119989986001e-08	1.0231913521262434e-05
1.202264e-05	0.9342158744659481	1.1611270945231999e-08	1.1220129870044055e-05
1.318257e-05	0.9343329969304505	1.3058479832075999e-08	1.230385165551337e-05
1.44544e-05	0.9344499192675227	1.46856993088e-08	1.349222721375168e-05
1.584893e-05	0.9345731254179902	1.650987792779e-08	1.4795474166703157e-05
1.737801e-05	0.9346961060727617	1.8560166508259998e-08	1.622459811178525e-05
1.905461e-05	0.9348253310791813	2.085763341664e-08	1.7791874468418036e-05
2.089296e-05	0.9349543042820739	2.343882985488e-08	1.951052405133832e-05
2.290868e-05	0.9350875196227475	2.633325275584e-08	2.1395287506275404e-05
2.511886e-05	0.9352246473137467	2.9577482768859998e-08	2.3462199501654522e-05
2.754229e-05	0.9353634361563732	3.3216139451450005e-08	2.572883487456387e-05
3.019952e-05	0.9355055200548573	3.729613540432e-08	2.8214521527602745e-05
3.311311e-05	0.9356511996701273	4.1678809294800004e-08	3.0940642287014093e-05
3.630781e-05	0.9357998464329305	4.6768126368809997e-08	3.393007489594721e-05
3.981072e-05	0.9359525164147766	5.246531375568e-08	3.720847825052839e-05
4.365158e-05	0.9361067498334482	5.884634578536e-08	4.080369233310939e-05
4.786301e-05	0.9362647339971966	6.598471139416001e-08	4.4746463614561e-05
5.248075e-05	0.936426617357355	7.39689930875e-08	4.90704022057895e-05
5.754399e-05	0.9365900049617188	8.290437446487e-08	5.381222150515223e-05
6.309573e-05	0.9367592028385162	9.288139435682999e-08	5.9012624342957424e-05
6.91831e-05	0.9369299960973627	1.040412124843e-07	6.471568040051916e-05
7.585776e-05	0.9371043474903792	1.1650636826927999e-07	7.09701303186125e-05
8.317638e-05	0.9372823350014936	1.3042688524488002e-07	7.782932477812665e-05
9.120108e-05	0.9374616576350413	1.4598137350632e-07	8.535153426139969e-05
0.0001	0.9376464231709514	1.633166e-07	9.360132571709513e-05
0.0001096478	0.937832634698012	1.826786075422e-07	0.00010264860655529848
0.0001202264	0.9380241660443673	2.042403678672e-07	0.00011257102822864932
0.0001318257	0.9382189454683106	2.282696457714e-07	0.00012345309959385046
0.000144544	0.9384149049863961	2.55072026848e-07	0.00013538717199950564
0.0001584893	0.9386139960759599	2.8492081079969997e-07	0.00014847535439748192
0.0001737801	0.9388161532492935	3.181482656352e-07	0.00016282941672764238
0.0001905461	0.9390233147358608	3.550695096691e-07	0.0001785721609223217
0.0002089296	0.9392313934261711	3.9618129149279997e-07	0.00019583705804447976
0.0002290868	0.939444311254118	4.418277986464e-07	0.0002147724632447635
0.0002511886	0.9396177332008537	4.824787926738e-07	0.00023553878414522218
0.0002754229	0.9397037325896682	5.046584813615999e-07	0.0002583112686893093
0.0003019952	0.9397779630480517	5.260653705631999e-07	0.00028328236853572574
0.0003311311	0.9398489680723736	5.479312405786e-07	0.00031066529139109133
