### name of eos: 1D/NS/RMF/FSU2R 
### link: https://compose.obspm.fr/eos/214 
### Number density nb [fm-3] 	 Chemical potential mu [MeV] 	 Pressure p [MeV/fm3] 	 Energy density e [MeV] 
n	mu	p	e
4.67962e-10	0.9299001072426001	9.000000079422e-15	4.351489139853822e-10
5.8496402e-10	0.9299074330389	1.2854501274609162e-14	5.439495357570412e-10
7.3384598e-10	0.929915877372	1.8414699520683756e-14	6.823966136480944e-10
9.2229002e-10	0.9299255118876	2.6380200570918683e-14	8.57634638756754e-10
1.16133e-09	0.9299364852294001	3.779109850659e-14	1.0799253472929526e-09
1.46524e-09	0.9299489479191	5.4137898514560006e-14	1.3625442585504676e-09
1.8524799e-09	0.9299630896347	7.75555937519778e-14	1.7226603756964282e-09
2.3470601e-09	0.929979099303	1.111029998832292e-13	2.1826057348081263e-09
2.9801099e-09	0.92999716848	1.591609883526042e-13	2.7713346077708635e-09
3.7922199e-09	0.9300175463763001	2.280080026847994e-13	3.5266030387146934e-09
4.8362199e-09	0.9300404524362001	3.266339926465089e-13	4.497553509884308e-09
4.9256701e-09	0.9300422818899001	3.355599998139441e-13	4.580745899641038e-09
5.08413e-09	0.9300424813335	3.3656600980116e-13	4.728120314612286e-09
7.0708799e-09	0.9300769606623001	5.45156001690125e-13	6.575917330598459e-09
9.8920401e-09	0.9301173062997	8.856700109575605e-13	9.199872021609657e-09
1.38896e-08	0.930164068218	1.4388700552640002e-12	1.2918167971865469e-08
1.9569301e-08	0.9302180859771	2.33762012715243e-12	1.82013801000026e-08
2.7658e-08	0.9302802584817	3.79773961718e-12	2.572589364946968e-08
3.9200401e-08	0.9303516256743001	6.169880082709289e-12	3.646398691735175e-08
5.5698401e-08	0.9304333260923999	1.002370091073989e-11	5.1813624799547515e-08
7.9311903e-08	0.9305266399686001	1.6284700621094398e-11	7.378555390748443e-08
1.13147e-07	0.9306329858502	2.645639926775e-11	1.0527187405072484e-07
1.61673e-07	0.930754003419	4.2981501045419993e-11	1.5043481049371458e-07
1.6274799e-07	0.9307563917655	4.33693952238609e-11	1.5143536254426382e-07
1.68369e-07	0.9307571910422999	4.349959932768e-11	1.566671578992733e-07
1.9609401e-07	0.9308120386895999	5.34871002463854e-11	1.824731781226724e-07
2.28942e-07	0.9308707927647	6.596510195898e-11	2.1304945593517697e-07
2.6734801e-07	0.9309328559697	8.13542026274876e-11	2.488016922844884e-07
3.1225699e-07	0.9309983857749	1.003329921349256e-10	2.906104206447942e-07
3.6477499e-07	0.9310675841592	1.237400007732718e-10	3.395064287002231e-07
4.2619499e-07	0.9311406303776999	1.5260700077681498e-10	3.966948646516407e-07
4.9803202e-07	0.931217723874	1.882090046718686e-10	4.635880350760986e-07
5.82057e-07	0.9312990849375	2.3211700350237e-10	5.418370344779641e-07
6.80342e-07	0.9313849436232	2.8626700669034e-10	6.333740283078047e-07
7.9531497e-07	0.9314755186242	3.530509962630471e-10	7.404633731540769e-07
8.0065701e-07	0.9314795168862	3.56238004839021e-10	7.454393668615104e-07
8.2752302e-07	0.9314808059454	3.573060028231144e-10	7.704645036051482e-07
8.2937203e-07	0.9314821054275	3.583780071527498e-10	7.72186826679927e-07
8.3308203e-07	0.9314846931237001	3.605320020636873e-10	7.756426270593555e-07
8.36808e-07	0.9314872816649999	3.6269800105896e-10	7.791133111944664e-07
8.4055102e-07	0.9314898807231	3.6487801158220663e-10	7.825998913498979e-07
8.4431099e-07	0.9314924885139001	3.6706998643278145e-10	7.861022751683018e-07
8.4808801e-07	0.931495087572	3.692759993917379e-10	7.896205391443215e-07
8.5188202e-07	0.9314976953627999	3.7149501520854803e-10	7.931546433357982e-07
8.5569297e-07	0.9315003136704	3.73726985142192e-10	7.967045429754139e-07
8.5952098e-07	0.9315029328230999	3.759729821386994e-10	8.002703407108463e-07
8.6336598e-07	0.9315055511306999	3.782320021782e-10	8.038519710252186e-07
8.6722901e-07	0.9315081790161001	3.805050015022554e-10	8.074504108935329e-07
8.71108e-07	0.9315108077466	3.8279098843999997e-10	8.110637257260853e-07
8.7500598e-07	0.931513436571	3.8509199556073737e-10	8.146947354544149e-07
8.7891999e-07	0.9315160749732	3.874059937490496e-10	8.183406933065351e-07
8.9844599e-07	0.9315173736102	3.885679898001902e-10	8.365294809456158e-07
9.6282099e-07	0.9315579894917999	4.263789882004353e-10	8.96497206696704e-07
1.03414e-06	0.9316009332483	4.692730006088e-10	9.62936516108788e-07
1.11075e-06	0.931644936948	5.164819998899999e-10	1.034308131715101e-06
1.19307e-06	0.9316900297937999	5.684410052145001e-10	1.1110029828408742e-06
1.28151e-06	0.9317362320681	6.256270051218e-10	1.1934036717524689e-06
1.37653e-06	0.931783573725	6.885649596523001e-10	1.281939477780022e-06
1.47861e-06	0.9318320842491	7.578350292365999e-10	1.377058403062325e-06
1.5883001e-06	0.9318817844862	8.340740219206289e-10	1.4792738574656893e-06
1.70614e-06	0.9319327138743	9.179830308607998e-10	1.5890896974186375e-06
1.8327599e-06	0.9319848824607	1.0103299349586521e-09	1.7070941900452259e-06
1.87003e-06	0.9319997832639	1.0379400112769e-09	1.741829614685714e-06
1.9353199e-06	0.9320014326174	1.041059956953345e-09	1.80267985941601e-06
2.1888e-06	0.9320918781302999	1.227509989632e-09	2.0389351928619685e-06
2.48111e-06	0.9321879200832	1.4516999669211e-09	2.311409070430707e-06
2.8125601e-06	0.9322881198342	1.7168400674306982e-09	2.6203995274822586e-06
3.1883801e-06	0.9323926467788999	2.030400143012245e-09	2.9707917602331617e-06
3.61454e-06	0.9325017014877	2.4012299361172e-09	3.368163470159234e-06
4.0977702e-06	0.9326154628401	2.8397902352899323e-09	3.818804061450079e-06
4.6457099e-06	0.9327341314065	3.358450027447372e-09	4.329853738315629e-06
5.2670598e-06	0.9328579269129	3.971829961380671e-09	4.909446655992892e-06
5.9716299e-06	0.9329870489907	4.697239889278739e-09	5.56675611817635e-06
6.7705901e-06	0.9331217383056001	5.555140129602694e-09	6.3122296633370836e-06
6.8315899e-06	0.9331315822182	5.622109853026726e-09	6.369150182599848e-06
7.0905298e-06	0.9331339709402999	5.638969940445322e-09	6.610775258404086e-06
7.7039704e-06	0.9332232970713	6.299910161604697e-09	7.183224747066098e-06
8.3893401e-06	0.9333176700456	7.059440011170339e-09	7.82285991534095e-06
9.1357597e-06	0.9334147719417	7.910529438394901e-09	8.519542527451279e-06
9.9486497e-06	0.9335147015424001	8.86422996999551e-09	9.278346525475393e-06
1.08339e-05	0.933617519601	9.932909757078e-09	1.0104785935848195e-05
1.17981e-05	0.9337233259332001	1.1130400216296e-08	1.1005030771476191e-05
1.28481e-05	0.9338322004478999	1.2472299627531e-08	1.1985497194947132e-05
1.39917e-05	0.9339442228662	1.3975999633596e-08	1.3053491383443414e-05
1.52371e-05	0.9340594935672	1.566100069313e-08	1.4216696908739655e-05
1.65934e-05	0.9341781123666	1.754910185102e-08	1.548364198789292e-05
1.6743101e-05	0.9341907945005999	1.77606010138013e-08	1.5623490224579984e-05
1.7435101e-05	0.9341939528271	1.78139012348563e-08	1.626995201989487e-05
1.83175e-05	0.9342618018684	1.9027400207749998e-08	1.7094313155516664e-05
1.92878e-05	0.9343339486187999	2.0384502379220003e-08	1.8000861831790466e-05
2.0309601e-05	0.9344073442392	2.18384001223947e-08	1.895560193284541e-05
2.13855e-05	0.9344820292944	2.33961005535e-08	1.9960969336921893e-05
2.2518499e-05	0.9345580134561	2.5064798541074093e-08	2.10197788929121e-05
2.37115e-05	0.9346353171945	2.68526003434e-08	2.2134752723313986e-05
2.49678e-05	0.9347139695247	2.8767899159999995e-08	2.3308983549138805e-05
2.62906e-05	0.9347940018093	3.081970006542e-08	2.4545475483902163e-05
2.76836e-05	0.9348754127337	3.301799994612e-08	2.584769897600854e-05
2.91504e-05	0.9349582526283	3.537299888112e-08	2.7219034048534877e-05
2.9745401e-05	0.9349910529312	3.6339605405968204e-08	2.7775344195444804e-05
3.0295399e-05	0.934994660757	3.644859448653339e-08	2.828958771601642e-05
3.08444e-05	0.9350235633648	3.733260281988e-08	2.880290819502936e-05
3.1473901e-05	0.9350562836649	3.83528021812689e-08	2.9391516099315713e-05
3.2116299e-05	0.9350892339261001	3.94007991088737e-08	2.9992204629342696e-05
3.2771699e-05	0.9351223941477	4.0477498661724193e-08	3.060507213050606e-05
3.34406e-05	0.9351557838609	4.1583600119840003e-08	3.123058690565897e-05
3.4123099e-05	0.9351894036291001	4.2719994078932307e-08	3.1868840609707805e-05
3.4819499e-05	0.9352232533584001	4.38872939061271e-08	3.252011784118343e-05
3.55302e-05	0.935257322532	4.508660156112e-08	3.3184793119465346e-05
3.62553e-05	0.9352916322774	4.631870174864999e-08	3.386296001395817e-05
3.6995301e-05	0.9353261711388	4.75844031132183e-08	3.4555088831344194e-05
3.7161801e-05	0.9353338766667	4.78703009819988e-08	3.471082109226445e-05
3.8225498e-05	0.9353376843117	4.80138974503102e-08	3.570573488353121e-05
3.8743899e-05	0.9353602906428	4.888470000353069e-08	3.619061992927175e-05
3.9357499e-05	0.9353868048102	4.99204967908641e-08	3.676456473813978e-05
3.99809e-05	0.9354134587947	5.0978398185919996e-08	3.7347693556539104e-05
4.0614199e-05	0.9354402427367999	5.20585979596568e-08	3.7940097573161044e-05
4.1257499e-05	0.9354671763555	5.31616984679658e-08	3.85418743945519e-05
4.1911e-05	0.9354942501669	5.4288198430999996e-08	3.9153211320313945e-05
4.25748e-05	0.9355214636076	5.5438605520799995e-08	3.977420060328005e-05
4.3249202e-05	0.9355488273822	5.661330056624439e-08	4.0405126915749655e-05
4.39342e-05	0.9355763307861	5.781289515766e-08	4.104598473686501e-05
4.46302e-05	0.9356039741009999	5.9037993408219995e-08	4.1697154491514224e-05
4.5337099e-05	0.9356317774215	6.028899769389611e-08	4.235854152281061e-05
4.5541099e-05	0.9356397424890001	6.06512986440674e-08	4.254941084238199e-05
4.6813799e-05	0.9356436502314	6.08331976072285e-08	4.3740200579951836e-05
4.9073798e-05	0.935725990578	6.47828998106164e-08	4.585484534516405e-05
5.15586e-05	0.9358136579655001	6.91959979017e-08	4.8180046067678334e-05
5.4169199e-05	0.9359027842773	7.390970100717701e-08	5.062319446516396e-05
5.69121e-05	0.935993389608	7.894449834663e-08	5.319040489036283e-05
5.9793801e-05	0.9360855040995	8.43223004379981e-08	5.588778805067219e-05
