### name of eos: 1D/NS/Skyrme/BSK24 
### link: https://compose.obspm.fr/eos/253 
### Number density nb [fm-3] 	 Chemical potential mu [MeV] 	 Pressure p [MeV/fm3] 	 Energy density e [MeV] 
n	mu	p	e
4.67962e-10	0.9304598128297478	9.000000079422e-15	4.3541083493135497e-10
5.84964e-10	0.9304671427535648	1.2854500250148002e-14	5.442769271934461e-10
7.33846e-10	0.9304755928269928	1.8414700022552e-14	6.828073771936948e-10
9.2229e-10	0.9304852327657683	2.6380199998860003e-14	8.581508451275417e-10
1.16133e-09	0.9304962128063641	3.779109966792e-14	1.0805753757187467e-09
1.46524e-09	0.9305086828094267	5.41378999798e-14	1.3633644044997042e-09
1.85248e-09	0.9305228327550362	7.755559979104001e-14	1.7236973816222584e-09
2.34706e-09	0.9305388528111856	1.1110299984364001e-13	2.1839194168791774e-09
2.98011e-09	0.9305569327700417	1.591609996536e-13	2.7730028599176754e-09
3.79222e-09	0.9305773228378126	2.2800800111288e-13	3.5287259272108966e-09
4.83622e-09	0.9306002427787949	3.2663399940042e-13	4.500260872132263e-09
4.92567e-09	0.9306020727699015	3.3555999792714e-13	4.583503151782593e-09
5.08413e-09	0.9306022728033289	3.365659996329e-13	4.730966367227956e-09
7.07088e-09	0.9306367727912327	5.4515600232912e-13	6.5798757879917414e-09
9.89204e-09	0.9306771428065725	8.856700020042e-13	9.205409853726324e-09
1.38896e-08	0.9307239327768498	1.4388700552640002e-12	1.292594426664207e-08
1.95693e-08	0.9307779827672947	2.337620007699e-12	1.821233595816032e-08
2.7658e-08	0.9308401927873957	3.79773989376e-12	2.574138031222003e-08
3.92004e-08	0.9309116028418536	6.169879925316e-12	3.648593731611648e-08
5.56984e-08	0.9309933528111481	1.0023700173792e-11	5.184481646204267e-08
7.93119e-08	0.9310867227588847	1.628470000512e-11	7.382997234677527e-08
1.13147e-07	0.9311931328378366	2.645640039922e-11	1.0533525300080348e-07
1.61673e-07	0.9313142227771611	4.298149942868999e-11	1.5052538283962328e-07
1.62748e-07	0.9313166128430731	4.3369399516159995e-11	1.515265467074683e-07
