### Number density nb [fm-3] 	 Chemical potential mu [MeV] 	 Pressure p [MeV/fm3] 	 Energy density e [MeV]
n	mu	p	e
1e-07	930.9770468995113	2.143249e-08	9.307627219995112e-05
1.096478e-07	931.0048166944736	2.427463039294e-08	0.00010205835530955937
1.202264e-07	931.0325789729128	2.748965815624e-08	0.00011190720559447277
1.318257e-07	931.0632031675605	3.112104214404e-08	0.00012270693745966186
1.44544e-07	931.0921756062348	3.52316315552e-08	0.0001345485557992724
1.584893e-07	931.1235890358183	3.987641504576e-08	0.00014753324942472877
1.737801e-07	931.1566429465904	4.5122750219430006e-08	0.00016177137177670337
1.905461e-07	931.1892562011898	5.105713236876001e-08	0.0001773834239986688
2.089296e-07	931.2235174535007	5.775885952848001e-08	0.0001945023981526245
2.290868e-07	931.257325835289	6.533809822348e-08	0.00021327342265394024
2.511886e-07	931.2927878521812	7.3895918291e-08	0.0002338562356523954
2.754229e-07	931.3319000806524	8.3555045173e-08	0.0002564265777375505
3.019952e-07	931.3685600434296	9.447711455311999e-08	0.00028117435744947435
3.311311e-07	931.4083966768242	1.0681050855685999e-07	0.0003083114764322763
3.630781e-07	931.449147507353	1.2072688118414e-07	0.0003380680598424053
3.981072e-07	931.4906321384592	1.3644941150688e-07	0.0003706966779753651
4.365158e-07	931.5333118967541	1.5420090876162e-07	0.00040647480796049954
4.786301e-07	931.575970045045	1.7424988275396002e-07	0.0004457060498175029
5.248075e-07	931.6239498917612	1.9684180569725e-07	0.0004887263942771233
5.754399e-07	931.6701999985763	2.2237512408363003e-07	0.0005358978315960772
6.309573e-07	931.7181356857188	2.5117583558937e-07	0.0005876231834177054
6.91831e-07	931.7684710228932	2.836640623383e-07	0.0006443426490139009
7.585776e-07	931.8187809918016	3.2033730725568e-07	0.0007065365172124308
8.317638e-07	931.8714783963914	3.616993920695399e-07	0.0007747352625905308
9.120108e-07	931.9241457348884	4.0838183764344006e-07	0.0008495165038533487
1e-06	931.9809321280989	4.609706e-07	0.0009315199615280988
1.096478e-06	932.038348969693	5.203209157552e-07	0.0010214392238858357
1.202264e-06	932.097475820315	5.872186796336e-07	0.0011200400209900015
1.318257e-06	932.1565707257136	6.626906940654e-07	0.0012281592337611016
1.44544e-06	932.2204235902974	7.476927223360001e-07	0.0013467209963520235
1.584893e-06	932.2842322953076	8.435657973112998e-07	0.0014767271879778958
1.737801e-06	932.3479912033515	9.517002877863001e-07	0.0016192835711733892
1.905461e-06	932.4158729243708	1.0734309743144998e-06	0.0017756086506640297
2.089296e-06	932.4860951028012	1.2105780079535997e-06	0.0019470288905459488
2.290868e-06	932.5568500148138	1.3652349956488e-06	0.0021349994108840874
2.511886e-06	932.6293346667276	1.5394241552274e-06	0.00234111914478344
2.754229e-06	932.7059393129205	1.7354140785703e-06	0.0025671503324493153
3.019952e-06	932.7830428683405	1.956343931297599e-06	0.002815003671945033
3.311311e-06	932.861887438447	2.2050831220195002e-06	0.0030867907462336715
3.630781e-06	932.9430264272601	2.4851417910088e-06	0.003384826672643586
3.981072e-06	933.0276239563108	2.8002880353359993e-06	0.0037116498609236622
4.365158e-06	933.1121284683868	3.1553252137414e-06	0.004070026547267065
4.786301e-06	933.2019105193145	3.5543458916380993e-06	0.004463030891628867
5.248075e-06	933.291597674137	4.003721780205e-06	0.004893980579683491
5.754399e-06	933.383524752873	4.5093760814802e-06	0.0053665518453729286
6.309573e-06	933.4800106029296	5.0777651585268e-06	0.005884782505781432
6.91831e-06	933.5782393468036	5.716987670191e-06	0.006453066681385194
7.585776e-06	933.6763468867408	6.4365172816032e-06	0.007076223106699509
8.317638e-06	933.7789680988597	7.2450228517254e-06	0.007759590405808139
9.120108e-06	933.8856472939408	8.1530774124576e-06	0.008508984885558192
1e-05	933.9921780376892	9.174726e-06	0.00933074705437689
1.096478e-05	934.1031595027371	1.0322119989986e-05	0.010231913521262435
1.202264e-05	934.215874465948	1.1611270945232e-05	0.011220129870044056
1.318257e-05	934.3329969304503	1.3058479832076e-05	0.01230385165551337
1.44544e-05	934.4499192675229	1.4685699308800001e-05	0.01349222721375168
1.584893e-05	934.5731254179902	1.650987792779e-05	0.014795474166703156
1.737801e-05	934.6961060727615	1.856016650826e-05	0.01622459811178525
1.905461e-05	934.8253310791812	2.085763341664e-05	0.017791874468418036
2.089296e-05	934.9543042820741	2.343882985488e-05	0.01951052405133832
2.290868e-05	935.0875196227477	2.633325275584e-05	0.021395287506275402
2.511886e-05	935.2246473137468	2.9577482768860002e-05	0.02346219950165452
2.754229e-05	935.3634361563732	3.321613945145e-05	0.02572883487456387
3.019952e-05	935.5055200548572	3.7296135404319996e-05	0.028214521527602746
3.311311e-05	935.6511996701272	4.1678809294799995e-05	0.030940642287014094
3.630781e-05	935.7998464329304	4.6768126368810005e-05	0.03393007489594721
3.981072e-05	935.9525164147766	5.246531375568e-05	0.03720847825052839
4.365158e-05	936.1067498334482	5.884634578536e-05	0.04080369233310939
4.786301e-05	936.2647339971966	6.598471139416002e-05	0.044746463614561
5.248075e-05	936.426617357355	7.39689930875e-05	0.0490704022057895
5.754399e-05	936.5900049617188	8.290437446487e-05	0.05381222150515223
6.309573e-05	936.7592028385162	9.288139435683001e-05	0.059012624342957426
6.91831e-05	936.9299960973628	0.0001040412124843	0.06471568040051916
7.585776e-05	937.1043474903792	0.00011650636826928002	0.0709701303186125
8.317638e-05	937.2823350014936	0.00013042688524488	0.07782932477812665
9.120108e-05	937.4616576350412	0.00014598137350632	0.08535153426139969
0.0001	937.6464231709514	0.0001633166	0.09360132571709512
0.0001096478	937.832634698012	0.0001826786075422	0.1026486065552
0.0001202264	938.0241660443672	0.0002042403678672	0.1125710282286
0.0001318257	938.2189454683106	0.0002282696457714	0.12345309959379999
0.000144544	938.414904986396	0.000255072026848	0.1353871719995
0.0001584893	938.61399607596	0.0002849208107997	0.1484753543974
0.0001737801	938.8161532492936	0.0003181482656352	0.16282941672759998
0.0001905461	939.0233147358607	0.0003550695096691	0.1785721609223
0.0002089296	939.2313934261713	0.0003961812914928	0.1958370580444
0.0002290868	939.444311254118	0.0004418277986464	0.21477246324469998
0.0002511886	939.6177332008536	0.00048247879267379997	0.2355387841452
0.0002754229	939.7037325896682	0.0005046584813615999	0.2583112686893
0.0003019952	939.7779630480516	0.0005260653705632	0.2832823685357
0.0003311311	939.8489680723736	0.0005479312405786	0.31066529139099996
0.0003630781	939.9182060560476	0.0005716722776996	0.3406920441325
0.0003981072	939.9873522441824	0.0005976632112864001	0.37361806962599997
0.0004365158	940.0567324780579	0.0006268637527796	0.4097227528702
0.0004786301	940.12825398148	0.0006586830855384	0.44931499713039996
0.0005248075	940.2006360328522	0.0006952392604325001	0.4927291060343
0.0005754399	940.2754763631368	0.0007360549585683001	0.5403359711322
0.0006309573	940.3530800492196	0.0007818072022413001	0.5925408332322001
0.000691831	940.4327555709656	0.000834351645155	0.6497861820742
0.0007585776	940.5153109546192	0.0008940694208687999	0.7125597779263
0.0008317638	940.6012398478416	0.00096164371737	0.7813964178231
0.0009120108	940.6905709073776	0.0010387620609840001	0.8568811980647001
0.001	940.7833388971466	0.0011267909999999998	0.9396565478971
0.001096478	940.879554152368	0.0012276979081719999	1.0304260338697
0.001202264	940.9799523527507	0.001342576624648	1.1299637448107
0.001318257	941.0846058448294	0.001473723002781	1.2391176462444
0.00144544	941.1938838778073	0.00162315973888	1.3588161277734
0.001584893	941.3071513054736	0.0017947534368089998	1.4900763615171
0.001737801	941.425579765882	0.001990308698703	1.634020005244
0.001905461	941.5488845707164	0.0022134863924939997	1.7918711927505
0.002089296	941.6769830382216	0.0024690380837760002	1.9649729158699998
0.002290868	941.8107066837764	0.002760253107992	2.1548037568912
0.002511886	941.9498563195166	0.00309268428092	2.36297797251
0.002754229	942.0946076441712	0.003471970060484	2.5912723190566997
0.003019952	942.2449221355596	0.0039050153725439995	2.8416294217205
0.003311311	942.4012921259508	0.004397772006966	3.1161859930239
0.003630781	942.5638021762311	0.004958844443399	3.4172838997858
0.003981072	942.7324006103032	0.005598306859632001	3.7474872567028
0.004365158	942.9073195008211	0.006325227436108	4.1096142015414
0.004786301	943.08835965992	0.007151868047336999	4.5067528908812
0.005248075	943.2764352847344	0.008089944349025	4.9422955337579
0.005754399	943.470631238564	0.009155576809743	5.419950880118799
0.006309573	943.6717160859068	0.010362830076054	5.9438027506032
0.00691831	943.8794878202011	0.011731198390939999	6.5183197009904
0.007585776	944.094208580194	0.013280327013888	7.1484068621727
0.008317638	944.3155701884339	0.01503309098025	7.839441979610701
0.009120108	944.5440367902288	0.017014373163611998	8.5973292531192
0.01	944.7792494715957	0.01925288	9.4285396147159
