### Number density nb [fm-3] 	 Chemical potential mu [MeV] 	 Pressure p [MeV/fm3] 	 Energy density e [MeV/fm3]
n	mu	p	e
7.92405959867008e-15	931.191807807985	1.886478190982867e-19	7.37881919421599e-12
2.50580766467172e-14	931.1918717271044	1.202875101238043e-18	2.333387609166273e-11
7.924059598670081e-14	931.1920006112556	7.669892586590565e-18	7.378820143659158e-11
2.50580766467172e-13	931.1922604885162	4.89055366008406e-17	2.333388214559743e-10
7.92405959867008e-13	931.1927844954322	3.118363762222316e-16	7.378824003829586e-10
2.50580766467172e-12	931.193841083659	1.988362306073581e-15	2.333390675920226e-09
7.92405959867008e-12	931.1959715491967	1.267839470208794e-14	7.3788396982026205e-09
2.5058076646717196e-11	931.2002673413464	8.084124896701921e-14	2.3334006831234037e-08
7.92405959867008e-11	931.2089292182302	5.154680610685972e-13	7.378903507132896e-08
2.50580766467172e-10	931.2263947073668	3.286779031459769e-12	2.3334413696120176e-07
6.29410234040288e-10	931.2524670636586	1.4467819587777722e-11	5.861253654255452e-07
1.5810484988654399e-09	931.2956993010048	6.08859275577099e-11	1.472362781452136e-06
3.9714689058682395e-09	931.3638741528723	2.441054461078457e-10	3.698638560801005e-06
4.999380256722129e-09	931.3826906483216	3.2824099746386104e-10	4.65600799408249e-06
9.973660358163069e-09	931.4600844662983	8.956566483374038e-10	9.289170863004406e-06
1.99038194110668e-08	931.5625201500616	2.3923706850712655e-09	1.8539259800500032e-05
3.97209640718649e-08	931.6959423825236	6.278958802978592e-09	3.700158209447556e-05
7.92418564452663e-08	931.8676776946097	1.6252891374708008e-08	7.382667185048525e-05
1.58101406297455e-07	932.0871434722028	4.166831905435893e-08	0.0001473226198556786
1.99033206564924e-07	932.1594812054476	5.4538312147541687e-08	0.00018547615226206874
3.15499695463202e-07	932.344777754484	1.0167419373809272e-07	0.00029405281925450836
4.99934080568851e-07	932.5615406553982	1.8905533016125408e-07	0.0004660302410712664
6.294585892124061e-07	932.683473618932	2.577119373508809e-07	0.0005868279115485484
7.29727457487442e-07	932.7668736718819	3.1432243073360036e-07	0.0006803512767223587
9.65971146546113e-07	932.9019376157154	4.2816756847349054e-07	0.0009007281867252696
1.53107000415745e-06	933.1982675134448	7.93920039501866e-07	0.0014279979552820332
2.5056266193172294e-06	933.5385090629552	1.4704996958069151e-06	0.0023376284387700524
3.97141379770464e-06	933.9296042819176	2.722546550555927e-06	0.003706298369979486
4.82727428613838e-06	934.1144276931028	3.5339428173424257e-06	0.004505692614296441
6.07736284802167e-06	934.3486389321611	4.807210805222776e-06	0.0056735684945407065
7.92625465087822e-06	934.5974946725588	6.541102212248078e-06	0.007401316636635254
9.97703609874371e-06	934.8611257859351	8.894151385928924e-06	0.009318249047892533
1.25609035335829e-05	935.14609245345	1.2096045884863337e-05	0.011734183811229915
1.5214353983086e-05	935.4005361649228	1.562249889051235e-05	0.014215892374291059
1.99041938317933e-05	935.7224453123823	2.124609917031723e-05	0.018603554825086948
2.50558859045481e-05	936.0632810187084	2.8885707097599337e-05	0.023425009061544107
3.024372644183889e-05	936.3620608235864	3.713074147009906e-05	0.028281947276594957
3.971489631294249e-05	936.7459658063576	5.04875723233537e-05	0.03715228133124332
5.00057205192782e-05	937.1521696606791	6.865660718962679e-05	0.04679431287289749
6.15115619502737e-05	937.5448832563372	9.050189129541713e-05	0.057579348276288876
6.54540322464242e-05	937.589147873943	9.331057068044729e-05	0.061275679748158
8.485433908990791e-05	938.037996190061	0.00012688989310591934	0.07946970431482327
0.0001019519492347	938.4155837232717	0.00016209200806496438	0.09551120594476765
0.0001105168346141	938.5889654614745	0.0001805044618112733	0.10354937700469999
0.0001255844187872	938.7996777432508	0.0002053456705944292	0.1176932662164
0.0001634719590837	939.3130271696149	0.0002791827308720005	0.1532721580134
0.0001990403777809	939.7764792392965	0.0003630062067407903	0.18669045925070002
0.0002505848850474	940.2564045249752	0.0004704850045412788	0.2351435580385
0.0002572113693247	940.322042904283	0.00048714983555912453	0.241374370426
0.0002593089631205	940.3425853783241	0.0004924551188419593	0.2433468056737
0.0002706132143204	940.4514266078749	0.0005212908938616026	0.2539772925727
0.0002885428399989	940.618007306506	0.0005678525565556586	0.2708407386257
0.0002978395063206	940.7016745704943	0.0005923816898515888	0.2795857406592
0.0003058049637442	940.7719873299402	0.0006136028229829281	0.287079140654
0.0003417650712421	940.9647856827969	0.0006759555053305981	0.3209129415098
0.0012616	941.9796308310524	0.0013448581046498983	1.1870566441518
0.0018947	942.4888274820161	0.00213909021963899	1.7835944912105
0.0026726	942.9956197299229	0.0032879649183112265	2.5169621283718
0.0036062	943.5011442024967	0.004866879638380307	3.3975869465846
0.0047097	944.0058921624192	0.006957410912206997	4.4390271394051
0.0074963	945.0142258863108	0.01304101046018238	7.0710691310513
0.011197	946.0210628962697	0.02237019507530376	10.570227646174201
0.015999	947.0273756378268	0.03595796178910535	15.1155330210404
0.022073	948.033443702754	0.05499831141571221	20.8709438914351
0.029477	949.0394798093852	0.08080882666219072	27.894027919679
0.042684	950.5502734231795	0.13494144067629998	40.4383464301186
0.0622	952.5673294805653	0.24014208741999998	59.009545806271
0.073174	953.67346985216	0.3149590647275	69.46914341823441
0.075959	953.9454343702815	0.33523772988739997	72.1255035194447
0.085	955.3526328308913	0.44855858080879996	80.7564152098169
0.09	955.9488340483113	0.5007251192533999	85.53466994509459
0.095	956.563270232298	0.5575603069869	90.3159503650813
0.1	957.1984244449415	0.619488566672	95.1003538778221
0.105	957.8558685873244	0.6868781473834	99.8879880542855
0.11	958.5368971574756	0.7600910566866	104.6789676306357
0.115	959.2436857363616	0.8396078908316	109.47341596884989
0.12	959.9766985464898	0.9257407253059	114.2714631002728
0.125	960.7373615630979	1.0189264657915	119.0732437295957
0.13	961.5264436594454	1.1195396028729998	123.87889807285481
0.135	962.3446266493194	1.2279546271351	128.68856997052288
