### Number density nb [fm-3] 	 Chemical potential mu [MeV] 	 Pressure p [M)_sun/km3] 	 Energy density e [M_sun/km3]
n	mu	p	e
7.92405959867008e-15	931.191807807985	1.6912722662634022e-25	6.615285732218098e-18
2.50580766467172e-14	931.1918717271044	1.0784059461841724e-24	2.0919371178998302e-17
7.924059598670082e-14	931.1920006112556	6.876239905090801e-24	6.615286583416328e-17
2.50580766467172e-13	931.1922604885162	4.3844968955955795e-23	2.091937660649378e-16
7.92405959867008e-13	931.1927844954322	2.7956867841761886e-22	6.615290044150313e-16
2.50580766467172e-12	931.193841083659	1.7826137824544465e-21	2.0919398673172015e-15
7.92405959867008e-12	931.1959715491968	1.1366480377496676e-20	6.615304114526519e-15
2.50580766467172e-11	931.2002673413464	7.247608957343957e-20	2.0919488390112703e-14
7.92405959867008e-11	931.2089292182302	4.621292946809401e-19	6.615361320739998e-14
2.50580766467172e-10	931.2263947073668	2.946675051858301e-18	2.091985315409531e-13
6.29410234040288e-10	931.2524670636586	1.2970742062680488e-17	5.254752373157594e-13
1.5810484988654399e-09	931.2956993010048	5.458567248552547e-17	1.3200080181425518e-12
3.9714689058682395e-09	931.3638741528724	2.188462994268479e-16	3.3159168500940995e-12
4.999380256722129e-09	931.3826906483216	2.942758089199165e-16	4.174221164883812e-12
9.973660358163069e-09	931.4600844662984	8.029773451227994e-16	8.327961135345088e-12
1.99038194110668e-08	931.5625201500616	2.144816838923824e-15	1.6620884401161064e-11
3.97209640718649e-08	931.6959423825236	5.6292349072720275e-15	3.317279251007432e-11
7.92418564452663e-08	931.8676776946096	1.4571101091984456e-14	6.618735546908249e-11
1.58101406297455e-07	932.0871434722028	3.735663244627044e-14	1.3207820919743947e-10
1.99033206564924e-07	932.1594812054476	4.88948853078956e-14	1.6628375237698019e-10
3.15499695463202e-07	932.344777754484	9.115331673902719e-14	2.6362529945951414e-10
4.99934080568851e-07	932.5615406553982	1.6949256992173934e-13	4.1780712108477605e-10
6.294585892124061e-07	932.683473618932	2.310448402795846e-13	5.261050865126406e-10
7.29727457487442e-07	932.766873671882	2.8179748502009883e-13	6.099509928804545e-10
9.65971146546113e-07	932.9019376157154	3.838623405952895e-13	8.075240991025532e-10
1.53107000415745e-06	933.1982675134448	7.11768071774356e-13	1.2802339033620066e-09
2.5056266193172294e-06	933.5385090629552	1.3183377178462128e-12	2.095739121829171e-09
3.97141379770464e-06	933.9296042819176	2.4408273027356453e-12	3.3227840499855227e-09
4.82727428613838e-06	934.1144276931028	3.168263225146544e-12	4.039459875704735e-09
6.07736284802167e-06	934.3486389321612	4.309778057237492e-12	5.086488193411421e-09
7.92625465087822e-06	934.5974946725588	5.864252666820166e-12	6.635455220848997e-09
9.97703609874371e-06	934.8611257859352	7.973816841811772e-12	8.354030415069382e-09
1.25609035335829e-05	935.14609245345	1.084439090486401e-11	1.0519973006860145e-08
1.5214353983086e-05	935.4005361649228	1.400593933688061e-11	1.2744883364009223e-08
1.99041938317933e-05	935.7224453123824	1.9047629845282297e-11	1.6678526409673147e-08
2.50558859045481e-05	936.0632810187084	2.5896718837827986e-11	2.1001074039513363e-08
3.024372644183889e-05	936.3620608235864	3.328858694171104e-11	2.535543389447174e-08
3.971489631294249e-05	936.7459658063576	4.526330135678273e-11	3.3307897936106065e-08
